Region Name,Mall Name,Version,Name,Value1,Value2,Value3,IsActive,Link
France,Odysseum,fr-FR,/Resource Keys/Navigation/Mall Social Media,Vous avez quitté Odysseum ? L'aventure continue sur les réseaux sociaux !,,,1,
,,,/Footer Repository/Social Media Repository/Facebook,Facebook,,,1,
,,,/Footer Repository/Social Media Repository/Instagram,Instagram,,,1,
,,,/Footer Repository/Mall,ODYSSEUM & VOUS,,,1,
,,,/Footer Repository/Mall/Informations pratiques,Plans & Horaires,,,1,
,,,/Footer Repository/Mall/Boutiques,Boutiques & Restaurants,,,1,
,,,/Footer Repository/Mall/Bons plans,Bons plans,,,1,
,,,/Footer Repository/Mall/Evenements,Évènements,,,1,
,,,/Footer Repository/Mall/Actus,Actualités,,,1,
,,,/Footer Repository/Mall/Services,Services ,,,1,
,,,/Footer Repository/Contact,CONTACT,,,1,
,,,/Footer Repository/Contact/Louer un emplacement temporaire,Nous rejoindre,,,1,
,,,/Footer Repository/Contact/Louer un local,Louer un emplacement permanent,,,1,
,,,/Footer Repository/Contact/Nous Contacter,Louer un emplacement temporaire,,,1,
,,,/Footer Repository/Contact/Votre Centre recrute,Nous contacter,,,1,
,,,/Footer Repository/Newsletter Subscription,Rester informé,"Personne, nous disons bien personne, n'aime être mis à l'écart. Inscrivez-vous à notre newsletter pour ne rien rater de notre actualité. ",Exemple@gmail.com,1,
,,,/Footer Repository/Mobile App Repository,Le fun à portée de main ,N'attendez pas d'être à la maison. Poursuivez l'aventure en téléchargeant notre application mobile,,1,
,,,/Footer Repository/Mobile App Repository/AppleStore,Télécharger sur l'App Store,,,1,
,,,/Footer Repository/Mobile App Repository/Playstore,À découvrir sur Google Play,,,1,
,,,/Footer Repository/LegalPages/Data privacy page link,Conditions générales d'utilisation,,,1,
,,,/Footer Repository/LegalPages/Legal notice page link,Mentions légales ,,,1,
,,,/Footer Repository/LegalPages/Terms of service page link,Données personnelles,,,1,
