Legacy URL,Friendly URL,Banner Image,Service Title,Service Category,Featured Service,Short Description,CTA,"Store Association
No Store -> Leave blank",Service Position,Long Description,Description Image,Meta Title,Meta Description,Meta Keywords,Open Graph Title,Open Graph Description,Open Graph Image
,,,Amazon Locker,services-shopping,,"<p>Amazon lance son service de livraison Amazon Locker à Odysseum : simple, pratique et sûr, en choisissant Amazon Locker, vous avez ensuite 3 jours pour retirer votre colis via le Locker. A retrouver au niveau 0.</p>", ,,,,,,"Amazon lance son service de livraison Amazon Locker à Odysseum : simple, pratique et sûr, en choisissant Amazon Locker, vous avez ensuite 3 jours pour retirer votre colis via le Locker. A retrouver au niveau 0.",,,,
,,,Prêt de poussettes,famille,Prêt de poussettes,"Pour votre confort et faciliter vos achats, des poussettes sont disponibles au point accueil sur simple demande.", ,,,,,,,,,,
,,,Espace Bébé,famille,,<p>Table à langer et toilettes enfants</p>, ,,,,,,,,,,
,,,Bracelet ALLO,famille,Bracelet ALLO,"<p>Vous venez faire votre shopping en famille ? Pour plus de sérénité, pensez à récupérer un bracelet ALLO à l'accueil du centre sur lequel vous pourrez noter le nom de votre enfant et votre numéro de téléphone : s'il devait échapper à votre vigilance au détour d'un rayon, vous pourrez ainsi être contacté. Service gratuit ! </p>", ,,,,,,,,,,
https://odysseum.klepierre.fr/Services/Carrousel-Odysseum,carrousel-odysseum,Carrousel-Odysseum_1.jpg,Manège,famille,, ,,,,"<h2>Carrousel Odysseum </h2> <p>Le Carrousel Odysseum va faire voyager les enfants avec la ronde des petits chevaux de bois, la montgolfi&egrave;re, la fus&eacute;e spatiale ou encore le sous-marin Nautilus. La p&ecirc;che au canard, les barbes &agrave; papa et de nombreux jeux et activit&eacute;s en toute s&eacute;curit&eacute; pour petits et grands. Un coin d&eacute;tente pour les parents dans un cadre agr&eacute;able lors de votre passage dans le centre commercial Odysseum !</p><p>Le Carrousel Odysseum vous accueille tous les jours &agrave; partir de 11h pendant les vacances scolaires.</p><p>Retrouvez le Carrousel Odysseum dans l'Espace Loisirs du centre commercial.</p>", ,"Carrousel Odysseum Montpellier : horaires, accès et bons plans - Odysseum","Carrousel Odysseum - au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Carrousel Odysseum - centre commercial Odysseum - Montpellier,"Carrousel Odysseum Montpellier : horaires, accès et bons plans - Odysseum","Carrousel Odysseum - au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Carrousel-Odysseum_1.jpg
,,,Espace Toilettes,services-pratiques,,<p>Mail de Poseïdon<br />services-pratiques, ,,,,,,,,,,
,,,Espace Accueil et Information,services-pratiques,,"<p><br />Ouvert du lundi au samedi de 10h à 20h</p><p>Prêt gratuit de poussette, parapluie et fauteuil roulant.</p><p>Tél : 04 67 13 50 50</p>", ,,,,,,,,,,
,,,Prêt de parapluies,services-pratiques,,<p>Des parapluies vous sont prêtés à l'Espace Accueil et Information.</p>, ,,,,,,,,,,
https://odysseum.klepierre.fr/Services/La-Grande-Pharmacie,la-grande-pharmacie,la-grande-pharmacie-646.jpeg,Pharmacie,santé,,,,,,"<p>La Grande Pharmacie d'Odysseum vous accueille du lundi au samedi au niveau 0 de votre centre commercial, pour tous vos besoins de médicaments, avec ou sans ordonnance. Le rayon parapharmacie viendra combler vos envies de produits de beautés pour prendre soin de vous avec des produits de grandes marques de cosmétiques telles que Vichy, Avene, Nuxe ou encore La Roche Posay.</p><p>La Grande Pharmacie du centre commercial Odysseum vous propose également un rayon orthopédique.</p>", ,"La Grande Pharmacie  Montpellier : horaires, accès et bons plans  - Odysseum","La Grande Pharmacie  -  au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",La Grande Pharmacie  - centre commercial Odysseum  - Montpellier,La Grande Pharmacie  au centre Odysseum,"La Grande Pharmacie  -  au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.", 
https://odysseum.klepierre.fr/Services/Minute-Plus,minute-plus,minute-plus-76.jpeg,Cordonnier et clé minute,entretien et reparation,,,,,,"<h2>Minute Plus</h2> <p>La boutique multiservices Minute + vous accueille dans la galerie de l’hypermarché du centre commercial Odysseum. Reproduction de clés, serrurerie, cordonnerie, fabrication de tampon, imprimerie, gravures ou encore remplacement de piles de montres et bien d’autres services pour répondre à vos besoins lors de votre shopping au centre commercial Odysseum.</p><p>Minute + utilise les meilleurs produits qui existent sur le marché et saura vous rendre service avec rapidité pour un travail de qualité.</p>", ,"Minute Plus Montpellier : horaires, accès et bons plans  - Odysseum","Minute Plus -  au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Minute Plus - centre commercial Odysseum  - Montpellier,Minute Plus au centre Odysseum,"Minute Plus -  au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.", 
