Legacy URL,Friendly URL,Shop Name,Meta Title,Meta Description,Meta Keywords,Open Graph Title,Open Graph Description,Tile image,Banner image,Category 1,Sub-Category 1,Category 2,Sub-Category 2,Category 3,Sub-Category 3,Description,Brand Logo,Brand Title,Monday Opening,Monday Closing,Tuesday Opening,Tuesday Closing,Wednesday Opening,Wednesday Closing,Thursday Opening,Thursday Closing,Friday Opening,Friday Closing,Saturday Opening,Saturday Closing,Sunday Opening,Sunday Closing,Phone Number,MapWize,Opening Date,SITE URL,Facebook URL,Twitter URL,Instagram URL,Type
https://odysseum.klepierre.fr/Shopping/Adopt,adopt,Adopt',"Adopt' Montpellier : horaires, accès et bons plans  - Odysseum","Adopt' - maquillage, parfumerie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Adopt' - centre commercial Odysseum  - Montpellier,"Adopt' Montpellier : horaires, accès et bons plans  - Odysseum","Adopt' - maquillage, parfumerie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",adopt--980.jpeg,adopt--980.jpeg,Fashion,Jewellery,Health and beauty,"shoes, bags and accessories",,,"<p>Adopt&rsquo; est un concept unique autour de trois univers : le parfum, le maquillage et l&rsquo;accessoire de mode. Une beaut&eacute; accessible, qui s&rsquo;inscrit dans une d&eacute;marche qualitative et exigeante.<br />Adopt propose la gamme la plus large des maisons de parfum enrichie r&eacute;guli&egrave;rement par de nouvelles cr&eacute;ations. Nos parfums sont &eacute;labor&eacute;s &agrave; Grasse, capitale du parfum et sont ensuite fabriqu&eacute;s dans notre atelier au c&oelig;ur de la r&eacute;gion Bordelaise.<br />C&rsquo;est une nouvelle fa&ccedil;on de se parfumer avec plus de 150 fragrances &agrave; un prix tout doux pour changer de parfum au gr&eacute; de vos envies, vos &eacute;motions, vos humeurs !</p>",adopt--779.png,Adopt',00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 07 07 79,2955339,,http://www.adopt.fr/,https://www.facebook.com/adoptparfumsdeFrance/,,,Shop
https://odysseum.klepierre.fr/Shopping/Agatha,agatha,Agatha,"Agatha Montpellier : horaires, accès et bons plans  - Odysseum","Agatha - bijouterie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Agatha - centre commercial Odysseum  - Montpellier,"Agatha Montpellier : horaires, accès et bons plans  - Odysseum","Agatha - bijouterie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",agatha-438.jpeg,agatha-438.jpeg,fashion,Jewellery,,,,,"<p>AGATHA des bijoux pour combler toutes vos envies !</p><p>Plongez dans l’univers féminin des bijoux Agatha. Votre boutique du centre commercial Odysseum vous propose un large choix de bijoux tendances, raffinés et irrésistibles qui séduiront toutes les femmes en quête d'élégance et de subtilité. Boucles d’oreilles, bagues, colliers ou encore bracelets et montres&nbsp;telle une seconde peau, viennent magnifier la beauté de toutes les femmes tout en illustrant le savoir-faire d’Agatha.</p><p>Agatha est la référence de la bijouterie fantaisie et propose les incontournables de votre boîte à bijou, à porter de jour comme de nuit, avec un jean, avec une petite robe noire… au gré de vos envies. Pour que chacune de vous puisse laisser exprimer son humeur de tous les jours, de la joie à la colère en passant par la séduction ou encore la discrétion.</p><p>Pour se faire plaisir ou pour offrir, venez découvrir les collections renouvelées de votre boutique Agatha située au niveau 1 du centre commercial Odysseum.</p>",agatha-614.png,Agatha,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 07 02 64,371668,,https://www.agatha.fr,https://www.facebook.com/agatha,,,Shop
https://odysseum.klepierre.fr/Shopping/Altissimo,altissimo,Altissimo,"Altissimo Montpellier : horaires, accès et bons plans  - Odysseum","Altissimo - magasin de sport au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Altissimo - centre commercial Odysseum  - Montpellier,"Altissimo Montpellier : horaires, accès et bons plans  - Odysseum","Altissimo - magasin de sport au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",altissimo-495.jpeg,altissimo-495.jpeg,Lifestyle & entertainment,,,,,,"<p>Un mur d’escalade en plein centre d’Odysseum ! Prenez de la hauteur et venez découvrir un véritable mur d’escalade, encordé sur le mur, ou en bloc, vous découvrirez les sensations de ce sport qui fait appel à tout le corps. Pour les novices, une séance d’initiation d’une heure est dispensée par les professionnels du monde de la grimpe. L’Altissimo, salle d’escalade au plein cœur de votre centre commercial Odysseum à Montpellier est en accès libre.</p>",altissimo-381.png,Altissimo,00010101T100000,00010101T230000,00010101T100000,00010101T230000,00010101T100000,00010101T230000,00010101T100000,00010101T230000,00010101T100000,00010101T230000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,04 67 64 14 18,371745,,http://www.altissimo-escalade.com/,,,,Shop
https://odysseum.klepierre.fr/Shopping/American-Vintage,american-vintage,American Vintage,"American Vintage Montpellier : horaires, accès et bons plans  - Odysseum","American Vintage - magasin de vetement, mode femme au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",American Vintage - centre commercial Odysseum  - Montpellier,"American Vintage Montpellier : horaires, accès et bons plans  - Odysseum","American Vintage - magasin de vetement, mode femme au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",american-vintage-747.jpeg,american-vintage-747.jpeg,Fashion,women's fashion,,men's fashion,,,"<a name=""eztoc0_1"" id=""eztoc0_1""></a><h3>American Vintage, une redéfinition du basique</h3><p>  Un pur produit au chic français naturel.</p><p>Au fil des saisons, les collections s’étoffent et se structurent avec des pièces plus mode. La boutique American Vintage du centre Odysseum vous propose un vestiaire complet et multi facettes, qui se joue des codes et ose les mélanges, pour s’adresser à toutes les personnalités. Fort de son succès chez la femme, la marque lance sa première collection homme en 2008, en 2016 une ligne sport et en 2017 une ligne homewear.</p><a name=""eztoc0_2"" id=""eztoc0_2""></a><h3>Le style American Vintage</h3><p>L’esprit d’American Vintage: une silhouette naturelle dont l’allure n’est pas dictée par le vêtement ou l’accessoire qu’elle porte. American Vintage mise sur la simplicité, la sensualité, la légèreté, et le jeu de transparence. Des pièces adaptables à toutes les personnalités et à tous les styles, mais uniques dans le détail, la coupe, la matière, les couleurs et les imprimés.</p><p>Venez découvrir les collections tendance d'American Vintage au centre commercial Odysseum.</p>",American-Vintage_2.png,American Vintage,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 15 24 07,371724,,http://www.am-vintage.com/,https://www.facebook.com/americanvintage.fr,,,Shop
https://odysseum.klepierre.fr/Shopping/Andre,andre,André,"André Montpellier : horaires, accès et bons plans  - Odysseum","André - magasin de chaussure au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",André - centre commercial Odysseum  - Montpellier,"André Montpellier : horaires, accès et bons plans  - Odysseum","André - magasin de chaussure au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",andr--847.jpeg,andr--847.jpeg,Fashion,"shoes, bags & accessories",,,,,"<p>Bien plus qu’une marque, ANDRÉ c’est le partenaire d’une vie à retrouver au centre commercial Odysseum !</p><p>
 On a tous dans le cœur une paire de chaussures ANDRE « Le chausseur sachant chausser »! Maison incontournable du soulier français, André a su depuis plus d’un siècle conquérir les pieds des français grâce à son savoir-faire du métier de<br />chausseur. La marque s’est naturellement inscrite dans le patrimoine affectif national en proposant une mode accessible à tous et à l'écoute de ses clients. Fidèle à ses valeurs qui ont fait son succès, André sait aussi se réinventer pour devenir une marque de tous les jours qui rend la vie POP !&nbsp;</p><p>Venez vite découvrir les collections femme, homme, enfant, maroquinerie et accessoires de mode dans votre boutique André Odysseum ! Découvrez toutes nos collections sur&nbsp;<a href=""http://www.andre.fr/?utm_source=centre_co&amp;utm_medium=referral&amp;utm_campaign=centre_co"" target=""_blank"">www.andre.fr</a>&nbsp;et suivez l'actualité de l'enseigne sur&nbsp;<a href=""https://www.instagram.com/andrechaussures/"" target=""_blank"">Instagram</a>.&nbsp;Vous pouvez également réserver vos achats en ligne et venir les récupérer en magasin 1h après : cliquez pour plus d'informations !&nbsp;<a href=""http://www.andre.fr/e-reservation/"" target=""_blank"">E-RESERVATION - ANDRE</a></p>",Andre_2.jpg,André,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 15 80 38,371693,,https://www.andre.fr,https://www.facebook.com/JePorteDesAndre,,,Shop
https://odysseum.klepierre.fr/Shopping/Apple-Store,apple-store,Apple Store,"Apple Store  Montpellier : horaires, accès et bons plans  - Odysseum","Apple Store  - telephonie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Apple Store  - centre commercial Odysseum  - Montpellier,"Apple Store  Montpellier : horaires, accès et bons plans  - Odysseum","Apple Store  - telephonie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",apple-store--94.jpeg,apple-store--94.jpeg,Hi-tech,,,,,,"<p>Plongez dans l’univers high tech de la célèbre marque à la pomme avec la boutique Apple Store du centre commercial Odysseum. iPhone, iPad, iPod, Mac, vous découvrirez tous les produits Apple que vous pourrez essayer avant d’acheter ainsi qu'une ligne de sublimes accessoires. Les spécialistes Apple vous accompagneront dans vos achats et prendront le temps de répondre à vos questions. Ils s'occuperont également de configurer votre nouveau produit Apple exactement comme vous le désirez.</p><p>Et si vous souhaitez obtenir une assistance technique pratique, prenez rendez-vous au Genius Bar via l’application Apple Store, qui vous accueille toute la semaine aux heures d’ouvertures de la boutique. Une Équipe Entreprises est également présente en magasin pour identifier les solutions parfaitement adaptées à votre société. Enfin, profitez de votre visite à Odysseum pour en apprendre davantage sur votre produit Apple en participant à un atelier gratuit. Pour plus d’informations, consultez le site <a href=""http://www.apple.com/fr/retail"" target=""_blank"">www.apple.com/fr/retail</a> ou téléchargez l’application Apple Store sur l’App Store.&nbsp;</p>",apple-store-170.png,Apple Store,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 13 99 00,371676,,http://www.apple.com/fr/retail/odysseum/,https://www.facebook.com/AppStore,,,Shop
https://odysseum.klepierre.fr/Shopping/Armand-Thiery-Femme,armand-thiery-femme,Armand Thiery Femme,"Armand Thiery Femme Montpellier : horaires, accès et bons plans  - Odysseum","Armand Thiery Femme - magasin de vetement, mode femme au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Armand Thiery Femme - centre commercial Odysseum  - Montpellier,"Armand Thiery Femme Montpellier : horaires, accès et bons plans  - Odysseum","Armand Thiery Femme - magasin de vetement, mode femme au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",armand-thiery-femme-406.jpeg,armand-thiery-femme-406.jpeg,Fashion,women's fashion,,,,,"<p>Armand Thiery Femme vous offre une collection de vêtements de qualité pour vous faire plaisir en toute confiance à prix abordables dans votre centre commercial Odysseum. Que vous soyez plutôt classique ou un brin fantaisiste, vous trouverez les vêtements qui vous correspondent dans votre boutique Armand Thiery Femme à travers une collection dynamique et tendance, renouvelée en permanence pour s’adapter au style de toutes les femmes. Rendez-vous au niveau 1 du centre commercial Odysseum.</p>",armand-thiery-femme-900.jpeg,Armand Thiery Femme,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 99 47 60,371710,,http://www.armandthiery.fr/,https://www.facebook.com/ARMANDTHIERY,,,Shop
https://odysseum.klepierre.fr/Shopping/Armand-Thiery-Homme,armand-thiery-homme,Armand Thiery Homme,"Armand Thiery Homme Montpellier : horaires, accès et bons plans  - Odysseum","Armand Thiery Homme - magasin de vetement, mode homme au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Armand Thiery Homme - centre commercial Odysseum  - Montpellier,"Armand Thiery Homme Montpellier : horaires, accès et bons plans  - Odysseum","Armand Thiery Homme - magasin de vetement, mode homme au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",armand-thiery-homme-409.jpeg,armand-thiery-homme-409.jpeg,Fashion,men's fashion,,,,,"<p>La boutique Armand Thiery Homme d’Odysseum vous propose une collection de vêtements chics et sportswear allant du costume au jean tendance. Enseigne de référence du prêt à porter masculin, Armand Thiery se positionne comme un partenaire incontournable de l’homme moderne.</p><p>Chemises, pantalons à pinces, polos, tops ou encore bermudas, Armand Thiery saura vous apporter le style et la classe pour un look branché en toute circonstance.</p><p>Une boutique à retrouver au niveau 1 de votre centre commercial Odysseum.</p>",armand-thiery-homme-745.jpeg,Armand Thiery Homme,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 99 85 40,371719,,http://www.armandthiery.fr/,https://www.facebook.com/ARMANDTHIERY,,,Shop
https://odysseum.klepierre.fr/Shopping/Banana-Moon,banana-moon,Banana Moon,"Banana Moon Montpellier : horaires, accès et bons plans  - Odysseum","Banana Moon - lingerie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Banana Moon - centre commercial Odysseum  - Montpellier,"Banana Moon Montpellier : horaires, accès et bons plans  - Odysseum","Banana Moon - lingerie au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",banana-moon-206.jpeg,banana-moon-206.jpeg,Fashion,underwear,,,,,"<p>Venez découvrir l’univers californien de Banana Moon dans votre centre commercial Odysseum. Vous y retrouverez toute l’année des maillots de bain colorés et originaux, du bikini au maillot de bain une pièce sans oublier différents accessoires et vêtements de plage ainsi que des serviettes Banana Moon.</p><p>Des collections fun et pleines de vie pour un look glamour même à la plage ! Banana Moon se complète également d’une gamme hiver ainsi qu’une ligne de lingerie Intimates pour répondre aux besoins et aux envies toutes les femmes. A découvrir dans votre boutique du centre commercial Odysseum, située au niveau 1.</p>",banana-moon-380.png,Banana Moon,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,00010101T100000,00010101T200000,closed,closed,04 67 17 66 95,371700,,http://www.bananamoon.com/fr/,https://www.facebook.com/bananamoon.usa,,,Shop
https://odysseum.klepierre.fr/Shopping/Baraka-Jeux,baraka-jeux,Baraka Jeux,"Baraka Jeux Montpellier : horaires, accès et bons plans  - Odysseum","Baraka Jeux - loisirs au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",Baraka Jeux - centre commercial Odysseum  - Montpellier,"Baraka Jeux Montpellier : horaires, accès et bons plans  - Odysseum","Baraka Jeux - loisirs au centre commercial Odysseum : Horaires-Reduction-Contacts, toutes les informations utiles sur notre site.",baraka-jeux-997.jpeg,baraka-jeux-997.jpeg,lifestyle & entertainment,,,,,,"<p>Le centre commercial Odysseum n’est pas qu’un espace de shopping, c'est aussi un espace de détente avec Baraka Jeux. Un espace entièrement dédié à la détente, aux jeux, dans une ambiance ludique et sympathique. Des billards, jeux de fléchettes, circuit électrique de mini-voiture, jeux de société en tous genres (stratégie, fun, rôle,...), il y en a pour tout le monde et tous les âges.</p><p>Baraka Jeux d’Odysseum à Montpellier est un paradis. Des animations sont proposées le week-end ainsi qu’une possibilité de privatiser le lieu pour un anniversaire, une réunion ou une soirée. A retrouver dans l'Espace Loisirs, au 2e étage.</p>",baraka-jeux-16.png,Baraka Jeux,00010101T120000,00010101T010000,00010101T120000,00010101T010000,00010101T120000,00010101T010000,00010101T120000,00010101T010000,00010101T120000,00010101T010000,00010101T200000,00010101T010000,00010101T200000,00010101T010000,04 67 92 96 28,371750,,,,,,Shop
